"Kanji";"Hiragana";"English"
"文化";"ぶんか";"culture, civilization, civilisation, Bunka era (1804.2.11-1818.4.22)"
"文学";"ぶんがく";"literature"
"文芸";"ぶんげい";"literature, art and literature, belles-lettres"
"文章";"ぶんしょう";"sentence, article, composition, (writing) style"
"分数";"ぶんすう";"fraction"
"ぶんせき";"ぶんせき";"analysis"
"ぶんたい";"ぶんたい";"literary style"
"ぶんぽう";"ぶんぽう";"grammar, syntax"
"文明";"ぶんめい";"civilization, civilisation, culture, Bummei era (1469.4.28-1487.7.20)"
"分野";"ぶんや";"field, sphere, realm, division, branch"
"平均";"へいきん";"average, mean, balance, equilibrium"
"へいこう";"へいこう";"side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism"
"平日";"へいじつ";"weekday, ordinary days (i.e. non-holiday); (noun) kanji radical 73"
"平野";"へいや";"plain, open field"
"平和";"へいわ";"peace, harmony"
"ページ";"ページ";"page"
"へこむ";"へこむ";"to be dented, to be indented, to yield to, to give, to sink, to collapse, to cave in, to be snubbed, to be overwhelmed, to feel down, to be forced to yield"
"へそ";"へそ";"navel, belly button"
"下手";"へた";"humble position, inferior, underarm grip on opponent's belt (sumo)"
"別";"べつ";"distinction, difference, different, another, particular, separate, extra, exception"
"べっそう";"べっそう";"holiday house, villa"
"ベッド";"ベッド";"bed"
"別に";"べつに";"particularly, nothing, separately, apart"
"ベテラン";"ベテラン";"person with a lot of experience, old hand, veteran (in a particular field)"
"部屋";"へや";"room, sumo stable"
"ヘリコプター";"ヘリコプター";"helicopter"
"ベル";"ベル";"bell, bel, B"
"ベルト";"ベルト";"Belt for western clothes"
"へん";"へん";"strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy, unexpected, change, incident, disturbance, disaster, accident; (noun,) flat (music)"
"~編";"~へん";
"~へん";"~へん";
"ぺん";"ぺん";
"~べん";"~べん";
"変化";"へんか";"change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis, variety, diversity, inflection, declension, conjugation, sidestepping (sumo)"
"ペンキ";"ペンキ";"paint"
"勉強";"べんきょう";"study, diligence, discount, reduction"
"へんこう";"へんこう";"change, modification, alteration, revision, amendment"
"返事";"へんじ";"reply, answer, response"
"編集";"へんしゅう";"editing, compilation, editorial (e.g. committee)"
"ペンチ";"ペンチ";"pliers"
"ベンチ";"ベンチ";"bench"
"べんとう";"べんとう";"bento (Japanese box lunch)"
"便利";"べんり";"convenient, handy, useful"
"~歩";"~ほ";
"~ぽい";"~ぽい";
"法";"ほう";"law, act, principle, method, mood, dharma"
"~ほう";"（比較）";
"ぼう";"ぼう";"pole, rod, stick"
"防~";"ぼう~";
"貿易";"ぼうえき";"trade (foreign)"
"ほうき";"ほうき";"broom"
"ぼうけん";"ぼうけん";"risk, venture, adventure"
"方向";"ほうこう";"direction, orientation, bearing, way, course (e.g. of action)"
"報告";"ほうこく";"report, information"
"ぼうし";"ぼうし";"hat, cap"
"防止";"ぼうし";"prevention, check"
"ほうしん";"ほうしん";"objective, plan, policy"
"放送";"ほうそう";"broadcast, broadcasting"
"ほうたい";"ほうたい";"bandage, dressing"
"ぼうだい";"ぼうだい";"huge, bulky, enormous, extensive, swelling, expansion"
"豊富";"ほうふ";"abundance, wealth, plenty, bounty"
"方法";"ほうほう";"method, process, manner, way, means, technique"
"方面";"ほうめん";"direction, district, area, field (e.g. of study)"
"ほうもん";"ほうもん";"call, visit"
"ほうりつ";"ほうりつ";"law"
"放る";"ほうる";"to let go, to abandon, to leave undone, to throw, to toss, to fling"
"ほえる";"ほえる";"to bark, to bay, to howl, to bellow, to roar, to cry"
"ボーイ";"ボーイ";"boy"
"ボート";"ボート";"boat, rowing boat"
"ボーナス";"ボーナス";"bonus"
"ホーム";"ホーム";"platform, home"
"ボール";"ボール";"ball, bowl, board (e.g. cardboard, pasteboard)"
"ボールペン";"ボールペン";"ball-point pen"
"ほがらか";"ほがらか";"brightness, cheerfulness, melodious"
"ぼく";"ぼく";"servant, manservant, menial"
"ポケット";"ポケット";"pocket"
"ほけん";"ほけん";"health preservation, hygiene, sanitation"
"ほこり";"ほこり";"pride, boast"
"ほこり";"ほこり";"dust"
"星";"ほし";"star, any light-emitting (or reflecting) heavenly body (except for the sun and the moon), suspect (police slang)"
"ぼしゅう";"ぼしゅう";"recruiting, taking applications"
"ほしょう";"ほしょう";"guarantee, security, assurance, pledge, warranty"
"ポスター";"ポスター";"poster"
"ポスト";"ポスト";"post, position, postbox, mail box, pillar box; (prefix) post-"
"ほぞん";"ほぞん";"preservation, conservation, storage, saving (e.g., to disk), maintenance"
"ボタン";"ボタン";"button"
"ホテル";"ホテル";"hotel"
"ほどう";"ほどう";"footpath, walkway, sidewalk"
"ほどく";"ほどく";"to unfasten, to untie, to unwrap (e.g. parcel)"
"仏";"ほとけ";"France"
"ほとんど";"ほとんど";"mostly, almost"
"ほね";"ほね";"knack, skill, trick, secret, know-how, the ropes, hang"
"ほほえむ";"ほほえむ";"to smile"
"ほり";"ほり";"moat, canal"
"ほり";"ほり";"moat, canal"
"ぼろ";"ぼろ";"rag, scrap, tattered clothes, fault (esp. in a pretense, pretence), defect, run-down or junky"
"本";"ほん";"origin, source, base, foundation, cause, ingredient, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), trunk, first section of a waka; (counter) counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
"本~";"ほん~";
"~本";"~ほん";
"ぼん";"ぼん";"O-Bon, Bon Festival, Lantern Festival, Festival of the Dead, tray, family, household"
"本当";"ほんと";"truth, reality"
"本人";"ほんにん";"the person himself"
"ほんの~";"ほんの~";
"本部";"ほんぶ";"headquarters, head office, main office"
"本物";"ほんもの";"genuine article"
"ほんやく";"ほんやく";"translation, de-encryption, deciphering, rendering"
"ぼんやり";"ぼんやり";"absent-minded, blockhead, dim, faint, vague"
"本来";"ほんらい";"originally, primarily, essentially, naturally, by nature, in (and of) itself, proper, legal"
"まあ";"まあ";"you might say, Oh!, Wow!, Well!"
"マーケット";"マーケット";"market"
"まあまあ";"まあまあ";"so-so; (interjection) now, now (used in calming people down); (interjection) my, my (expression of wonder, surprise, etc.)"
"毎~";"まい~";
"マイク";"マイク";"mike, mic, microphone"
"マイナス";"マイナス";"minus"
"前";"まえ";"previous, prior, former, some time ago, preceding, point (e.g. pencil), tip, end, nozzle, head (of a line), front, ahead, the other side, the future, hereafter, destination, the other party"
"任せる";"まかせる";"to entrust (e.g. a task) to another, to leave to, to passively leave to someone else's facilities, to leave to take its natural course, to continue (something) in a natural fashion (without particular aim), to rely fully on one's (full strength, great ability, long time taken) to get something done"
"まく";"まく";"to wind, to coil, to roll"
"まく";"まく";"to scatter, to sprinkle, to sow (seeds)"
"まく";"まく";"to scatter, to sprinkle, to sow (seeds)"
"まく";"まく";"curtain, bunting; (counter) act (in play)"
"負け";"まけ";"defeat, loss, losing (a game)"
"孫";"まご";"grandchild"
"まごまご";"まごまご";"confused"
"まさか";"まさか";"by no means, never!, well, I never!, you don't say!"
"まさつ";"まさつ";"friction, rubbing, rubdown, chafe"
"真面目";"まじめ";"one's true character, one's true self, oneself, seriousness, earnestness"
"先ず";"まず";"first (of all), to start with, about, almost, anyway, well, now, hardly (with neg. verb)"
"まずい";"まずい";"poor-quality, shoddy, crude, unskillful, inexpert, maladroit, inept, foolish, clumsy, unlucky"
"マスク";"マスク";"mask"
"マスター";"マスター";"to master, to learn; (noun) proprietor, manager, bar-owner; (noun) master (e.g. arts, science)"
"ますます";"ますます";"increasingly, more and more"
"未だ";"まだ";"as yet, hitherto, still, not yet (with negative verb)"
"またぐ";"またぐ";"to straddle"
"町";"まち";"town, block, neighbourhood, neighborhood, street, road, 109.09 m, 0.99 hectares"
"まち";"まち";".. street, .. quarter, .. district"
"待合室";"まちあいしつ";"waiting room"
"まちがい";"まちがい";"mistake"
"まつ";"まつ";"to wait, to await, to look forward to, to anticipate, (usu. in negative form) to depend on, to need"
"まつ";"まつ";"pine tree, highest (of a three-tier ranking system)"
"真っ黒";"まっくろ";"pitch black"
"真っ直ぐ";"まっすぐ";"straight (ahead), direct, upright, erect, straightforward, honest, frank"
"全く";"まったく";"really, truly, entirely, completely, wholly, perfectly, indeed; (interjection) good grief (expression of exasperation)"
"マッチ";"マッチ";"matcH (contest, lighting fires. etc.)"
"祭";"まつり";"festival, feast"
"まど";"まど";"window"
"まどぐち";"まどぐち";"ticket window, teller window, counter, contact person, point of contact"
"まとまる";"まとまる";"to be collected, to be settled, to be in order"
"まとめる";"まとめる";"to put in order, to collect, to bring to a conclusion, to put (it all) together"
"招く";"まねく";"to invite"
"真似る";"まねる";"to mimic, to imitate"
"まぶしい";"まぶしい";"dazzling, radiant"
"マフラー";"マフラー";"muffler (garment, vehicle), scarf"
"ママ";"ママ";"Mama, female proprietress (of a bar, etc.)"
"~まま";"~まま";
"間も無く";"まもなく";"soon, before long, in a short time, (after verb) lacking time to ..., without time to ..."
"守る";"まもる";"to protect, to guard, to defend, to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow"
"マラソン";"マラソン";"marathon, long-distance race"
"丸";"まる";"circle; (prefix) full (e.g. month, day, etc.), perfection, purity, suffix for ship names"
"まるで";"まるで";"quite, entirely, completely, at all, as if, as though, so to speak, just like"
"回り";"まわり";"circumference, perimeter, edge, surroundings, locality, neighborhood, rotation, circulation"
"周り";"まわり";"circumference, perimeter, edge, surroundings, locality, neighborhood, rotation, circulation"
"万";"まん";"many, all"
"満員";"まんいん";"full house, no vacancy, sold out, standing room only, full (of people), crowded"
"まんが";"まんが";"comic, cartoon"
"マンション";"マンション";"large apartment (from mansion), apartment house"
"満足";"まんぞく";"satisfaction, sufficiency"
"真中";"まんなか";"middle, centre, center, mid-way"
"身";"み";"body, oneself, one's place, one's position, main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container(as opposed to its lid)"
"実";"み";"truth, reality, sincerity, honesty, fidelity, content, substance, (good) result"
"未~";"み~";
"~み";"（接尾）";
"見送り";"みおくり";"seeing one off, farewell, escort"
"見送る";"みおくる";"to see off (e.g. to the station, an airport, etc.), to escort (e.g. home), to farewell, to see out, to send off, to let pass, to wait and see, to continue (e.g. in legal contexts), to let a pitch go by (baseball), to watch a batted ball go into the stands"
"みがく";"みがく";"to polish, to shine, to brush (e.g. teeth), to refine, to improve"
"味方";"みかた";"friend, ally, supporter"
"右";"みぎ";"right, right hand side, afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above"
"見事";"みごと";"splendid, magnificent, beautiful, admirable; (noun) praiseworthy act, feat, commendable deed"
"ミシン";"ミシン";"sewing machine"
"ミス";"ミス";"mistake, error, failure; (noun) Miss; (noun) myth"
"水";"みず";"water (cold, fresh)"
"湖";"みずうみ";"lake"
"自ら";"みずから";"naturally, as a matter of course"
"店";"みせ";"store, shop, establishment"
"店屋";"みせや";"store, shop"
"~みたい";"~みたい";
"見出し";"みだし";"heading, caption, subtitle, index"
"道";"みち";"road, street, way, path, course, route, lane, distance, ways (e.g. ""a long ways""), the way (of proper conduct, etc.), one's way, morals, teachings (esp. Confucian or Buddhist), dogma, field (of medicine, etc.), subject, way, method, means"
"みつ";"みつ";"density, thickness, secrecy, minute, fine"
"三日";"みっか";"the third day of the month, three days"
"三つ";"みっつ";"three"
"みっともない";"みっともない";"shameful, indecent"
"みとめる";"みとめる";"to write up"
"緑";"みどり";"green, greenery (esp. fresh verdure)"
"みな";"みな";"all, everyone, everybody, everything"
"港";"みなと";"harbour, harbor, port"
"南";"みなみ";"south"
"身分";"みぶん";"social position, social status"
"みまう";"みまう";"to ask after (health), to visit"
"未満";"みまん";"less than, insufficient"
"耳";"みみ";"ear, hearing, edge, crust, selvedge (non-fray machined edge of fabrics), selvage"
"みょう";"みょう";"strange, unusual, (something) superb, (something) excellent"
"明~";"みょう~";
"明後日";"みょうごにち";"day after tomorrow"
"未来";"みらい";"the future (usually distant), future tense, the world to come"
"ミリ";"（メートル）";"milli-, 10^-3, millimetre, millimeter"
"みりょく";"みりょく";"charm, fascination, glamour, glamor, attraction, appeal"
"みる";"みる";"to see, to look, to watch, to view, to observe, to look over, to look on, to assess, to examine, to judge, to look after, to keep an eye on, to take care of, to view (e.g. flowers, movie), (usu. after the -te form of a verb) to try"
"ミルク";"ミルク";"milk"
"民間";"みんかん";"private, civilian, civil, popular, folk, unofficial"
"民主~";"みんしゅ~";
"六日";"むいか";"sixth day of the month, six days"
"向かい";"むかい";"facing, opposite, across the street, other side"
"昔";"むかし";"olden days, former"
"向く";"むく";"to face, to turn toward, to be suited to, to be fit for"
"むく";"むく";"to peel, to skin, to pare, to hull"
"~向け";"~むけ";
"向ける";"むける";"to turn towards, to point"
"虫";"むし";"insect, bug, cricket, moth, worm"
"むし";"むし";"disregard, ignore"
"むじゅん";"むじゅん";"contradiction, inconsistency"
"むしろ";"むしろ";"rather, better, instead"
"むずかしい";"むずかしい";"difficult"
"息子";"むすこ";"son, penis"
"結ぶ";"むすぶ";"to tie, to bind, to link, to bear (fruit)"
"むすめ";"むすめ";"unmarried woman; (noun,) (after a name) Miss; (noun,) (after a line of work) -ess, -ette"
"六つ";"むっつ";"six"
"むね";"むね";"breast, chest"
"村";"むら";"village"
"無理";"むり";"unreasonable, impossible, overdoing"
"無料";"むりょう";"free, no charge"
"め";"め";"eye, eyeball, eyesight, look, experience, viewpoint; (suffix) ordinal number suffix; (suffix) somewhat, -ish"
"め";"め";"sprout"
"~目";"~め";
"名~";"めい~";
"~名";"~めい";
"明確";"めいかく";"clear, precise, definite, distinct"
"名人";"めいじん";"master, expert"
"めいめい";"めいめい";"each, individual"
"命令";"めいれい";"order, command, decree, directive, (software) instruction, statement"
"めいわく";"めいわく";"trouble, bother, annoyance"
"メーター";"メーター";"meter (i.e. measuring device), metre (i.e. 100 cm), meter"
"メートル";"メートル";"metre, meter, meter (i.e. a gauge), gauge"
"めぐまれる";"めぐまれる";"to be blessed with, to be rich in, to abound in"
"飯";"めし";"meals, food, cooked rice, one's livelihood"
"めちゃくちゃ";"めちゃくちゃ";"absurd, unreasonable, nonsensical, preposterous, incoherent, extreme, senseless, reckless, wanton, disorder, confusion, mess, wreck"
"めっきり";"めっきり";"remarkably"
"めったに";"めったに";"rarely (with neg. verb), seldom"
"めでたい";"めでたい";"happy, auspicious, propitious, joyous, naive"
"メニュー";"メニュー";"menu"
"めまい";"めまい";"dizziness, giddiness, vertigo"
"メモ";"メモ";"memorandum"
"目安";"めやす";"criterion, standard, yardstick, reference, aim, rough estimate, approximation"
"面";"めん";"face, surface, mask (esp. a noh or kyogen mask)"
"綿";"めん";"cotton"
"めんきょ";"めんきょ";"license, permit, licence, certificate"
"面積";"めんせき";"area"
"面接";"めんせつ";"interview"
"めんどう";"めんどう";"trouble, difficulty, care, attention"
"めんどうくさい";"めんどうくさい";"bother(some) to do, tiresome"
"メンバー";"メンバー";"member"
"もう";"もう";"already, anymore, soon, shortly, more, further, other, again; (adverb) interjection used to strengthen expression of an emotion (often exasperation)"
"もうかる";"もうかる";"to be profitable, to yield a profit"
"もうける";"もうける";"to get, to earn, to gain, to have (bear, beget) a child"
"モーター";"モーター";"motor"
"木材";"もくざい";"lumber, timber, wood"
"目的";"もくてき";"purpose, goal, aim, objective, intention"
"もくひょう";"もくひょう";"mark, sign, landmark"
"もぐる";"もぐる";"to drive, to pass through, to pass under, to evade, to hide, to survive"
"もし";"もし";"if, in case, supposing"
"文字";"もじ";"letter (of alphabet), character; (nouns) literal"
"もしかしたら";"もしかしたら";"perhaps, maybe, perchance, by some chance, by any chance"
"もしかすると";"もしかすると";"perhaps, maybe, by some chance"
"もしも";"もしも";"if"
"もしもし";"もしもし";"hello (e.g. on phone), excuse me! (when calling out to someone)"
"もたれる";"もたれる";"to lean against, to lean on, to recline on, to lie heavy (on the stomach)"
"モダン";"モダン";"modern"
"~持ち";"~もち";
"もちろん";"もちろん";"of course, certainly, naturally"
"持つ";"もつ";"to hold, to carry, to possess"
"もったいない";"もったいない";"impious, profane, sacrilegious, too good, more than one deserves, unworthy of, wasteful"
"もっと";"もっと";"more, even more, longer, further"
"最も";"もっとも";"most, extremely"
"もっとも";"もっとも";"quite right, plausible, natural, but then, although"
"モデル";"モデル";"model"
"元";"もと";"origin, source, base, foundation, cause, ingredient, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), trunk, first section of a waka; (counter) counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
"もと";"もと";"origin, source, base, foundation, cause, ingredient, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), trunk, first section of a waka; (counter) counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
"もと";"もと";"origin, source, base, foundation, cause, ingredient, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), trunk, first section of a waka; (counter) counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
"求める";"もとめる";"to seek, to request, to demand, to want, to wish for, to search for, to pursue (pleasure), to hunt (a job), to buy"
"物";"もの";"thing, object, the natural thing, a frequently done thing, used to express emotional involvement, used in giving a reason"
"者";"もの";"person (rarely used w.o. a qualifier)"
"物語";"ものがたり";"tale, story, legend"
"ものすごい";"ものすごい";"earth-shattering, staggering, to a very great extent, terrible, frightful, horrible"
"モノレール";"モノレール";"monorail"
"もむ";"もむ";"to rub, to crumple (up), to wrinkle, to massage, to be troubled about, to worry over, to train, to coach"
"もよう";"もよう";"pattern, figure, design"
"森";"もり";"forest, shrine grove"
"もる";"もる";"to prosper, to flourish, to copulate (animals)"
"門";"もん";"door (esp. Japanese-style), entrance (to a home), narrows"
"~問";"~もん";
"もんく";"もんく";"phrase, complaint"
"問題";"もんだい";"problem, question"
"~屋";"~や";
"~夜";"~や";
"やがて";"やがて";"before long, soon, at length"
"やかましい";"やかましい";"noisy, boisterous; (adjective) strict, faultfinding, carping, fussy"
"夜間";"やかん";"at night, nighttime"
"やかん";"やかん";"kettle"
"焼く";"やく";"to bake, to grill; (transitive) to develop (photos); (intransitive) to suntan, to burn (in flames, down, CD, DVD, etc.), to scorch; (intransitive) to be jealous, to be envious"
"役";"やく";"war, campaign, battle, unpaid work"
"やく";"やく";"approximately, about; (noun) promise, shortening, reduction, simplification, contraction (in phonetics)"
"役者";"やくしゃ";"actor, actress"
"役所";"やくしょ";"government office, public office"
"約束";"やくそく";"arrangement, promise, appointment, pact, engagement, convention, rule"
"役人";"やくにん";"government official"
"やくわり";"やくわり";"part, assigning (allotment of) parts, role, duties"
"焼ける";"やける";"to burn, to be roasted, to be heated, to be sunburnt, to fade (in the sun), to glow red (i.e. of the sky at sunset), to be jealous, to be envious"
"やこう";"やこう";"walking around at night, night train, night travel"
"野菜";"やさい";"vegetable"
"~やすい";"~やすい";
"休み";"やすみ";"rest, recess, respite, vacation, holiday, absence, suspension, dormancy (of a silkworm prior to moulting)"
"やせる";"やせる";"to become thin, to lose weight, to reduce (one's) weight, to slim, to be barren, to be infertile, to be sterile"
"やたらに";"やたらに";"randomly, recklessly, blindly"
"やちん";"やちん";"rent"
"八つ";"やっつ";"eight"
"やっつける";"やっつける";"to beat, to attack (an enemy), to do away with, to finish off"
"やっと";"やっと";"at last, at length"
"宿";"やど";"inn, lodging"
"やとう";"やとう";"to employ, to hire, to charter"
"屋根";"やね";"roof"
"やはり";"やはり";"also, as I thought, still, in spite of, absolutely, of course"
"やっぱり";"やっぱり";"also, as I thought, still, in spite of, absolutely, of course"
"破く";"やぶく";"to tear, to violate, to defeat, to smash, to destroy"
"破れる";"やぶれる";"to get torn, to wear out"
"山";"やま";"mountain, pile, heap, climax, critical point, speculated area covered by an examination"
"止む";"やむ";"to cease, to stop, to be over"
"やむをえない";"やむをえない";"cannot be helped, unavoidable"
"やめる";"やめる";"to resign, to retire, to quit, to leave (one's job, etc.)"
"やや";"やや";"a little, partially, somewhat, a short time, a while"
"やる";"やる";"to do, to have sexual intercourse, to kill, to give (to inferiors, animals, etc.); (auxiliary) to do for (inferiors), to send (e.g. somebody somewhere), to dispatch (e.g. letter) (despatch), to move (something to), to row (a boat), (used in place of other verb) to have (eat, drink, smoke), to study, to run or operate (a restaurant)"
"湯";"ゆ";"hot water, hot bath, hot spring"
"ゆいいつ";"ゆいいつ";"only, sole, unique"
"夕方";"ゆうがた";"evening"
"夕刊";"ゆうかん";"evening paper"
"勇気";"ゆうき";"courage, bravery, valour, valor, nerve, boldness"
"友好";"ゆうこう";"friendship"
"有効";"ゆうこう";"validity, legality, availability, effectiveness"
"ゆうしゅう";"ゆうしゅう";"superiority, excellence"
"ゆうしょう";"ゆうしょう";"overall victory, championship"
"ゆうじょう";"ゆうじょう";"friendship, fellowship, camaraderie"
"友人";"ゆうじん";"friend"
"ゆうひ";"ゆうひ";"the evening sun, setting sun"
"ゆうびん";"ゆうびん";"mail, postal service"
"有名";"ゆうめい";"famous; (noun) fame"
"ユーモア";"ユーモア";"humor, humour"
"有利";"ゆうり";"advantageous, better, profitable, lucrative"
"有料";"ゆうりょう";"toll, fee, charge, admission-paid"
"ゆか";"ゆか";"bed, bedding, sickbed, alcove, riverbed, seedbed, straw ""core"" of a tatami mat, floor"
"雪";"ゆき";"snow"
"行方";"ゆくえ";"whereabouts, course, direction"
"輸出";"ゆしゅつ";"export, efferent (medical)"
"輸送";"ゆそう";"transport, transportation"
"豊か";"ゆたか";"abundant, wealthy, plentiful, rich, affluent"
"ゆっくり";"ゆっくり";"slowly, at ease, restful"
"ゆでる";"ゆでる";"to boil"
"輸入";"ゆにゅう";"importation, import, introduction"
"湯飲み";"ゆのみ";"teacup"
"指";"ゆび";"finger, toe, digit"
"夢";"ゆめ";"dream"
"許す";"ゆるす";"to permit, to allow, to approve, to exempt (from fine), to excuse (from), to pardon, to forgive, to release, to let off, to confide in, to give up, to yield"
"ゆれる";"ゆれる";"to shake, to sway"
"夜";"よ";"evening, night"
"用";"よう";"task, business, use, duty, service, call of nature, excretion"
"よう";"よう";"mess, sorry state, plight, sad sight; (suffix) way, manner"
"用意";"ようい";"preparation"
"容易";"ようい";"easy, simple, plain"
"八日";"ようか";"the eighth day of the month, eight days"
"ようがん";"ようがん";"lava"
"容器";"ようき";"container, vessel"
"ようき";"ようき";"cheerful, merry; (noun) season, weather"
"要求";"ようきゅう";"demand, firm request, requisition, requirement, desire"
"用語";"ようご";"term, terminology"
"ようし";"ようし";"point, essentials, gist, summary, fundamentals"
"ようじ";"ようじ";"tasks, things to do, errand, business (to take care of), affairs, engagement"
"ようじ";"ようじ";"infant, baby, child"
"ようじん";"ようじん";"care, precaution, guarding, caution"
"様子";"ようす";"state, state of affairs, situation, circumstances, appearance, look, aspect, sign, indication"
"ようそ";"ようそ";"component, factor, item (e.g. in list), element (e.g. in array), member (e.g. data structure)"
"ようちえん";"ようちえん";"kindergarten"
"ようと";"ようと";"use, usefulness, utility, service"
"曜日";"ようび";"day of the week"
"洋品店";"ようひんてん";"shop which handles Western-style apparel and accessories"
"ようやく";"ようやく";"finally, at last, barely, narrowly, hardly, only just, gradually, little by little, by degrees"
"ヨーロッパ";"ヨーロッパ";"Europe"
"よく~";"よく~";
"よけい";"よけい";"too much, unnecessary, extraneous, abundance, surplus, excess, superfluity"
"横";"よこ";"horizontal (as opposed to vertical), lying down, side-to-side (as opposed to front-to-back), width, breadth, side (of a box, etc.), beside, aside, next to, unconnected"
"よこす";"よこす";"to send, to forward, to hand over (e.g. money)"
"よごれる";"よごれる";"to be violated, to be corrupted, to be polluted, to be stained"
"予算";"よさん";"estimate, budget"
"止す";"よす";"to cease, to abolish, to resign, to give up"
"寄せる";"よせる";"to come near, to let someone approach, to collect, to gather, to add, to put aside"
"余所";"よそ";"another place, somewhere else, strange parts"
"予測";"よそく";"prediction, estimation"
"四日";"よっか";"fourth day of month, four days"
"四つ角";"よつかど";"four corners, crossroads"
"四つ";"よっつ";"four"
"ヨット";"ヨット";"yacht (usually only used for a sailing boat with one mast)"
"予定";"よてい";"plans, arrangement, schedule, program, programme, expectation, estimate"
"世の中";"よのなか";"society, the world, the times"
"予備";"よび";"preparation, preliminaries, reserve, spare"
"よぶ";"よぶ";"to call out (to), to call, to invoke, to summon (a doctor, etc.), to invite, to designate, to name, to brand, to garner (support, etc.), to gather, to take as one's wife"
"予報";"よほう";"forecast, prediction"
"予防";"よぼう";"prevention, precaution, protection against"
"読み";"よみ";"reading"
"よめ";"よめ";"wife, bride, (one's) daughter-in-law"
"予約";"よやく";"reservation, appointment, booking, advance order, contract, subscription, pledge"
"よゆう";"よゆう";"surplus, composure, margin, room, time, allowance, flexibility, scope, rope"
"より";"より";"from, out of, since, at, than, other than, except, but, more"
"よる";"よる";"to visit, to drop in, to approach"
"因る";"よる";"to be due to, to be caused by, to depend on, to turn on, to be based on, to come from"
"よると";"よると";"according to"
"よろこび";"よろこび";"joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations"
"喜び";"よろこび";"joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations"
"よろしい";"よろしい";"good, OK, all right, fine, very well, will do, may, can"
"よろしく";"（感）";"well, properly, suitably, best regards, please remember me, please treat me favorably (favourably), please take care of"
"来";"らい";"next (year, etc.), since (last month, etc.)"
"ライター";"ライター";"lighter, writer"
"来日";"らいにち";"arrival in Japan, coming to Japan, visit to Japan"
"ラケット";"ラケット";"paddle, racket"
"ラジオ";"ラジオ";"radio"
"ラッシュアワー";"ラッシュアワー";"rush hour"
"らん";"らん";"column of text (e.g. in a newspaper), field (in a form, web page, etc.)"
"ランチ";"ランチ";"launch, lunch"
"ランニング";"ランニング";"running, tank top"
"りえき";"りえき";"profit, gains; (noun) benefit, advantage, interest (of the public, etc.), grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.), blessing, miracle"
"理科";"りか";"science"
"理解";"りかい";"understanding, comprehension, appreciation, sympathy"
"利害";"りがい";"advantages and disadvantages, interest"
"陸";"りく";"good, satisfactory, worthy, decent"
"りこん";"りこん";"divorce"
"リズム";"リズム";"rhythm"
"理想";"りそう";"ideal, dream"
"率";"りつ";"rate, ratio, proportion, percentage"
"リットル";"リットル";"litre"
"りっぱ";"りっぱ";"splendid, fine, handsome, elegant, imposing, prominent, legal, legitimate"
"リボン";"リボン";"ribbon"
"略す";"りゃくす";"to abbreviate, to omit, to take, to capture"
"理由";"りゆう";"reason, pretext, motive"
"~流";"~りゅう";
"留学";"りゅうがく";"studying abroad (usu. at university level)"
"流行";"りゅうこう";"fashion, fad, vogue, craze"
"利用";"りよう";"use, utilization, utilisation, application"
"量";"りょう";"quantity, amount, volume, portion (of food)"
"りょう";"りょう";"hostel, dormitory, bureau (government department beneath a ministry under the ritsuryo system)"
"両~";"りょう~";
"~料";"~りょう";
"~領";"~りょう";
"料金";"りょうきん";"fee, charge, fare"
"料理";"りょうり";"cooking, cookery, cuisine, dealing with something, handling, administration, management"
"旅館";"りょかん";"Japanese hotel, inn, ryokan"
"~力";"~りょく";
"旅行";"りょこう";"travel, trip"
"りんじ";"りんじ";"temporary, special, extraordinary"
"例";"れい";"custom, practice, habit, usual, said, aforementioned, instance, example, case, illustration, usage, precedent, annual"
"礼";"れい";"thanking, expression of gratitude"
"れい";"れい";"zero, nought"
"例外";"れいがい";"exception"
"冷静";"れいせい";"calm, composure, coolness, serenity"
"れいぞうこ";"れいぞうこ";"refrigerator"
"れいぼう";"れいぼう";"cooling, air-conditioning"
"レインコート";"レインコート";"raincoat, mackintosh, macintosh, trench coat"
"歴史";"れきし";"history"
"レクリェーション";"レクリェーション";"recreation, re-creation"
"レコード";"レコード";"record (e.g. LP), record (e.g. athletics)"
"レジャー";"レジャー";"leisure"
"レストラン";"レストラン";"restaurant (esp. Western-style)"
"列";"れつ";"queue, line, row, column, sequence, string, train"
